,Szczecin,Zielona Góra,Wrocław,Opole,Katowice,Łódź,Poznań,Bydgoszcz,Gdańsk,Olsztyn,Warszawa,Lublin,Kielce,Kraków,Rzeszów
Szczecin,0,213,0,0,0,0,264,262,358,0,0,0,0,0,0
Zielona Góra,213,0,187,0,0,0,133,0,0,0,0,0,0,0,0
Wrocław,0,187,0,97,0,217,182,0,0,0,0,0,0,0,0
Opole,0,0,97,0,113,204,0,0,0,0,0,0,0,0,0
Katowice,0,0,0,113,0,201,0,0,0,0,0,0,157,81,0
Łódź,0,0,217,204,201,0,218,223,0,0,134,0,147,0,0
Poznań,264,133,182,0,0,218,0,140,0,0,0,0,0,0,0
Bydgoszcz,262,0,0,0,0,223,140,0,167,211,304,0,0,0,0
Gdańsk,358,0,0,0,0,0,0,167,0,167,0,0,0,0,0
Olsztyn,0,0,0,0,0,0,0,211,167,0,214,0,0,0,0
Warszawa,0,0,0,0,0,134,0,304,0,214,0,176,177,0,0
Lublin,0,0,0,0,0,0,0,0,0,0,176,0,193,0,162
Kielce,0,0,0,0,157,147,0,0,0,0,177,193,0,115,160
Kraków,0,0,0,0,81,0,0,0,0,0,0,0,115,0,168
Rzeszów,0,0,0,0,0,0,0,0,0,0,0,162,160,168,0